price_cr,area_sqm,bhk,bathroom,balcony,addl_room,sector,landmark_count,has_hospital_or_clinic,has_police_stn,has_fire_stn,has_mall,has_market,has_park,has_bank_or_atm,has_institute,has_airport,has_rly_stn,has_metro_stn,has_expy,has_petrol_pump,has_hotel,has_temple_or_church,has_famous_chowk,has_club,has_stadium,has_restro_cafe,area_type,floor_rise,age,society,city
1.7,89.65,1,1,2,0,109,22,8,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,built up,high,under construction,conscient one,gurgaon
0.32,48.68,2,2,2,0,99,15,1,0,0,0,0,0,2,3,0,1,0,1,1,0,1,0,1,1,0,super built up,low,new,pareena laxmi apartments,gurgaon
0.45,54.01,2,2,1,0,86,8,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,carpet,mid,mid aged,pyramid elite,gurgaon
1.2,111.28,1,2,2,0,78,10,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,super built up,high,under construction,raheja revanta,gurgaon
2.1,121.7,2,2,2,0,65,9,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,super built up,high,new,m3m skycity,gurgaon
0.45,528.8441,2,2,2,0,95,12,0,0,0,1,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,carpet,low,new,signature the roselia,gurgaon
0.42,69.68,2,2,1,0,4,48,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,carpet,low,new,not applicable,gurgaon
1.55,144.65,3,2,3,0,33,8,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,carpet,high,new,godrej nature plus,sohna
1.3,133.78,3,3,2,0,102,12,1,0,0,1,1,3,0,3,1,0,0,1,0,1,0,0,0,0,0,super built up,low,mid aged,ramprastha city,gurgaon
2.75,241.27,4,4,3,1,113,17,2,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,carpet,high,new,smartworld 1dxp,gurgaon
1.25,180.23,3,3,3,1,103,18,7,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,super built up,low,new,ansal housing highland park,gurgaon
0.42,52.68,3,2,2,0,63,8,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,carpet,high,under construction,czar mahira homes 63a,gurgaon
0.4,57.88,2,2,1,0,33,10,1,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,super built up,mid,new,breez global heights,sohna
0.34,58.44,2,2,1,0,33,13,1,0,0,0,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,carpet,mid,new,trisara our homes 3,sohna
1.25,132.2,3,3,3,1,89,9,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,super built up,low,new,m3m soulitude,gurgaon
1.5,134.71,3,3,3,0,77,10,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,super built up,mid,new,emaar mgf palm hills,gurgaon
1.3,130.06,3,3,2,0,102,12,1,0,0,1,1,3,0,3,1,0,0,1,0,1,0,0,0,0,0,super built up,low,mid aged,ramprastha city,gurgaon
1.6,185.81,3,3,3,0,99,15,2,0,0,1,2,1,3,4,1,0,0,0,0,1,0,0,0,0,0,super built up,mid,mid aged,pareena coban residences,gurgaon
1.5,118.54,2,2,2,0,113,8,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,carpet,high,new,la vida by tata housing,gurgaon
1.5,118.54,2,2,2,0,113,8,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,super built up,high,new,la vida by tata housing,gurgaon
0.9,116.96,2,2,0,0,104,46,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,built up,high,under construction,godrej summit premia towers,gurgaon
1.5,152.36,4,4,3,0,52,44,6,0,0,0,1,0,9,1,0,0,0,0,2,0,3,0,0,0,2,super built up,low,old,ardee city,gurgaon
0.8,56.67,1,1,0,0,67,7,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,built up,low,under construction,m3m one key resiments,gurgaon
1.25,157.01,3,2,1,0,86,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,super built up,high,new,ansal heights 86,gurgaon
0.26,44.76,2,2,1,0,33,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,carpet,low,new,mvn athens,sohna
0.42,49.33,2,2,1,0,33,7,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,carpet,high,new,signature the serenas,sohna
